time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,orient_x,orient_y,orient_z,accel_x,accel_y,accel_z,angvel_x,angvel_y,angvel_z,yaw,roll,pitch
0.0,1.4844392152388566,40.640308388448744,0.01,9.99987999943307,-0.048989763609248935,-0.005688123720830449,0.0,0.03259054474032054,-0.28069179218872653,0.0,0.0,0.0,0.0,0.0,9.993263467997253e-11,-0.28069179218872653,0.0,0.03259054474032054
0.04,1.8844344199461738,40.638349763828,0.009772603825388856,9.999880354077687,-0.04891731933691476,-0.005681291277048207,2.3610264628421367e-07,0.03255139773372296,-0.28027671210963967,1.7719110250239416e-05,0.0036222136634824257,0.00020034104544864792,1.1804990590630635e-05,-5.7833063844485154e-08,0.02075400049695724,-0.28027671210963967,2.3610264628421367e-07,0.03255139773372296
0.08,2.2844296529830745,40.63639693474923,0.00954552819645043,9.999881414862594,-0.04869998650591878,-0.005672096437194557,7.074571313761729e-07,0.03249871519900855,-0.27903147188037375,3.528077334175714e-05,0.007244428078010633,0.00025940094723387013,2.3581622201958562e-05,-1.1535635456531224e-07,0.04150800091010374,-0.27903147188037375,7.074571313761729e-07,0.03249871519900855
0.12,2.684424942427227,40.63445569675558,0.009318867609027576,9.999883172340965,-0.04833776507032286,-0.005660539201269498,1.1771869209474397e-06,0.03243249713613501,-0.2769560715009288,5.2527542231986864e-05,0.010866644018106778,0.00031846084901909224,3.5315188811064226e-05,-1.7198696136502475e-07,0.06226200134768773,-0.2769560715009288,1.1771869209474397e-06,0.03243249713613501
0.16,3.0844203158524675,40.63253184539266,0.009092716558963154,9.999885610768086,-0.04783065495432387,-0.00564661956927303,1.6447036650537266e-06,0.03235274354504934,-0.2740505109713047,6.930196968308518e-05,0.014488862218039137,0.00037752075080431456,4.699098427124579e-05,-2.27146569512869e-07,0.08301600181797078,-0.2740505109713047,1.6447036650537266e-06,0.03235274354504934
0.2,3.484415800076888,40.63063117620968,0.008867169542100019,9.999888708101356,-0.047178656053394316,-0.005630337541205153,2.109419013746613e-06,0.03225945442568796,-0.2703147902915015,8.544660829535382e-05,0.018111083377857128,0.0004365806525895367,5.85943023221338e-05,-2.802635915796294e-07,0.10377000232914287,-0.2703147902915015,2.109419013746613e-06,0.03225945442568796
0.24,3.8844114209109173,40.6287594847606,0.008642321054281027,9.999892436000264,-0.04638176823587915,-0.005611693117065867,2.5707446170730432e-06,0.03215262977797682,-0.2657489094615193,0.00010080401045868662,0.021733308151985008,0.000495640554374759,7.011043654383573e-05,-3.3077529840659375e-07,0.12452400288930522,-0.2657489094615193,2.5707446170730432e-06,0.03215262977797682
0.28,4.284407202905404,40.62692256660512,0.008418265591349035,9.9998967598264,-0.04543999134504906,-0.005590686296855172,3.0280921250745706e-06,0.03203226960183156,-0.26035286848135797,0.0001152167283086441,0.02535553713781556,0.0005547004561599812,8.152468031232155e-05,-3.781299500920091e-07,0.1452780035064528,-0.26035286848135797,3.0280921250745706e-06,0.03203226960183156
0.32,4.684403169099706,40.625126217309685,0.0081950976491469,9.999901638643431,-0.044353325201609665,-0.005567317080573068,3.480873187786472e-06,0.03189837389715771,-0.2541266673510175,0.00012852731368831222,0.0289777708643037,0.0006137603579452033,9.282232675637432e-05,-4.2178892699990105e-07,0.16603200418845704,-0.2541266673510175,3.480873187786472e-06,0.03189837389715771
0.36,5.0843993407697665,40.62337623244834,0.007972911723517476,9.999907025217084,-0.043121769606667304,-0.005541585468219556,3.928499455237312e-06,0.031750942663850874,-0.2470703060704981,0.00014057831811710244,0.03260000978056013,0.0006728202597304255,0.00010398866871643057,-4.6122886079587354e-07,0.18678600494304828,-0.2470703060704981,3.928499455237312e-06,0.031750942663850874
0.4,5.484395737176197,40.62167840760337,0.007751802310303622,9.99991286601515,-0.041745324345150846,-0.0055134914597946335,4.37038257744842e-06,0.03158997590179695,-0.2391837846397995,0.00015121229276764974,0.036222254244444925,0.0007318801615156476,0.00011500899870563452,-4.959437655141807e-07,0.20754000577779866,-0.2391837846397995,4.37038257744842e-06,0.03158997590179695
0.44,5.884392375312366,40.62003853836597,0.007531863905348191,9.999919101207453,-0.04022398918968993,-0.005483035055298303,4.805934204432709e-06,0.0314154736108724,-0.23046710305892193,0.00016027178845196588,0.03984450451116105,0.0007909400633008698,0.0001258686088734302,-5.254471686599908e-07,0.2282940067001045,-0.23046710305892193,4.805934204432709e-06,0.0314154736108724
0.48,6.284389269652472,40.618462420336584,0.007313191004494042,9.999925664665845,-0.038557763904949256,-0.005450216254730564,5.234565986195117e-06,0.031227435790944478,-0.2209202613278652,0.00016759935561800376,0.04346676072184791,0.0008499999650860921,0.00013655279097201628,-5.492742423503356e-07,0.24904800771716915,-0.2209202613278652,5.234565986195117e-06,0.031227435790944478
0.52,6.684386431899632,40.61695584912515,0.007095878103584032,9.99993248396419,-0.03674664825241939,-0.005415035058091416,5.655689572730832e-06,0.031025862441871572,-0.21054325944662944,0.00017303754435779153,0.04708902289217485,0.0009090598668713142,0.00014704683632598778,-5.669839344967383e-07,0.26980200883598543,-0.21054325944662944,5.655689572730832e-06,0.031025862441871572
0.56,7.0843838707339515,40.61552462035112,0.006880019698461014,9.999939480378345,-0.0347906419956636,-0.00537749146538086,6.068716614026017e-06,0.030810753563503494,-0.19933609741521457,0.00017642890442829128,0.050711290900934576,0.0009681197686565363,0.0001573360358054882,-5.781611000319871e-07,0.29055601006331827,-0.19933609741521457,6.068716614026017e-06,0.030810753563503494
0.6,7.484381591560615,40.61417452964327,0.006665710284967848,9.999946568886154,-0.03268974490602109,-0.005337585476598893,6.473058760056614e-06,0.030582109155681797,-0.1872987752336206,0.00017761598528614106,0.05433356447863663,0.0010271796704417588,0.00016740567980319822,-5.824186321829026e-07,0.3113100114056873,-0.1872987752336206,6.473058760056614e-06,0.030582109155681797
0.64,7.8843795962579595,40.61291137263928,0.006453044358947388,9.999953658167435,-0.03044395676876646,-0.005295317091745518,6.868127660788201e-06,0.03033992921824017,-0.17443129290184753,0.00017644133613743576,0.057955843196100816,0.001086239572226981,0.00017724105821548296,-5.79399593790303e-07,0.3320640128693499,-0.17443129290184753,6.868127660788201e-06,0.03033992921824017
